句子索引,行号,原始文本
24,34,第一部分摆出艾奇逊所谓友谊和证据，也就
25,39,"是他的荒谬论点和虚伪论据，他的虚伪论据是为证明他的荒谬论点服
务的。"
26,39,"(第 13 自然段) 第二部分，先驳斥艾奇逊所谓那些在宗教、 慈
善事业和文化方面团结中美两国人民的纽带，一直在加深着美国对中
国的友谊，正是美帝国主义对中国的精神侵略。"
27,45,"紧接着，用主要的篇幅驳斥艾奇逊的所谓证据: 除了对中国进行
精神侵略、 强奸中国妇女之外，还帮助蒋介石杀死几百万中国人! 而
且直到现在 (作者写本文的 1949 年) 还在我国神圣土地广州、 台湾
等处依然进行残酷的侵略。"
28,45,"侵略，正是本文针对着艾奇逊的所谓友谊
而提出的论点。"
29,51,"第三部分 (最末一个自然段) 作出结论: 美帝国主义代言人艾奇
逊所谓友谊的实质是: 干涉中国内政。"
30,54,"统观全文，它的中心思想是: 艾奇逊的所谓友谊，正是对中国的
侵略—"
31,56,"—
—干涉中国内政。"
32,56,"这个中心思想，既包括这篇驳论的论点，又
包括了结论，是论点和结论二者的综合。"
33,61,"再以 《友邦惊诧论》 (作者鲁迅) 为例，这也是一篇通过反驳对
方的论据从而驳倒对方的论点的驳论。"
34,64,"1931 年 9·18 事变后，蒋介石反动政府对内围剿工农红军，疯狂
镇压和破坏在中国共产党领导下的抗日救亡运动，对外推行绝对不抵
抗的投降卖国政策，因而激起了全国人民的强烈反对。"
35,64,"各地学生纷纷
到南京示威请愿，坚决要求出兵抗日。"
36,64,"蒋介石反动政府却屈从于英、
法、 美等帝国主义的压力，竟逮捕和枪杀请愿学生，并发表通电对爱
国学生运动大肆污蔑。"
37,64,"鲁迅在本文中痛斥国民党反动派诬蔑爱国学生
运动的无耻谎言，揭露蒋介石所谓友邦图瓜分中国的险恶用心，戳穿
了国民党反动政府对内镇压、 对外投降的奴才嘴脸。"
38,73,本文可分三部分。
39,73,"第一部分 (第 1 自然段) 先揭露蒋介石反动政
府对爱国请愿学生的造谣、 诬陷: 捣毁机关，阻断交通，殴伤中委、
拦劫汽车，冲击路人及公务人员; 私逮刑讯，社会秩序，悉被破坏。"
40,77,"接着，指出蒋介石反动政府对帝国主义的投降、 献媚: 友邦人士，莫
名惊诧，长此以往，国将不国。"
41,77,"前者是蒋介石给学生捏造的罪状—
—
—
虚伪的论据; 后者是他为了讨好帝国主义而虚构的荒谬论点。"
42,82,"下文揭露所谓友邦人士正同日本帝国主义是一伙 ( 第 24 自然
段)，批判蒋介石反动政府屈从帝国主义的投降卖国政策 (第 5 自然
段至结尾)。"
43,82,"作者引用报纸上披露的消息，以无可争辩的事实驳斥蒋
介石反动政府对爱国学生的造谣、 诬陷，揭露蒋介石对爱国学生的镇
压，杀戮，有力地粉碎了他们所捏造的虚伪论据，从而驳倒了他们所
虚构的荒谬论点。"
44,82,"所有这些，充分证明了作者作出的结论: 国府则不
但依然能够镇压，而且依然能够诬陷、 杀戮。"
45,82,"‘友邦人士’，从此可以
不必 ‘惊诧莫名’，只请放心来瓜分就是了。"
46,82,"可以认为，这个结论也
是本文的论点。"
47,92,"统观全文，它的中心思想是: 揭露蒋介石反动政府的投降卖国，
谴责它对爱国请愿学生诬陷、 杀戮的罪行。"
48,92,"这个中心思想，概括地反
映了本文的论点、 结论。"
49,96,"以上两篇可以作为通过反驳对方的论据从而驳倒对方的论点的驳
论的代表。"
50,98,"议论文中的驳论，除了上述两种以外，还有通过反驳对方的论证
从而驳倒对方的论点的。"
51,101,以 《别了，司徒雷登》 为例。
52,101,"这是毛泽东主席于 1949 年 8 月 18
日为新华社写的对于美国国务院白皮书和艾奇逊信件的评论。"
53,104,本文对艾奇逊的谬论进行了彻底的驳斥，是全文的重点。
54,105,"美国国务卿艾奇逊，在致美国总统杜鲁门的信中暴露了美帝国主
义侵略中国的凶恶面目和野心。"
55,105,"艾奇逊说: 和平来到的时候，美国在
中国碰到了三种可能的选择 (一) 它可以一干二净地撤退 (二) 它
可以实行大规模的军事干涉，帮助国民党毁灭共产党; (三) 它可以
帮助国民党把他们的权力在中国最大可能的地区里面建立起来，同时"
56,110,却努力促成双方的妥协来避免内战。
57,110,"为什么不选择第一种呢? 艾奇逊
说: 第一种选择等于叫我们不要坚决努力地先做一番补救工作，就把
我们的国际责任，把我们对华友好的传统政策，统统放。"
58,110,"为什么不选
择第二种呢? 艾奇逊说: 第二种供选择的政策，从理论上看，以及回
顾起来，虽然都似乎是令人神往，却是完全行不通的。"
59,110,"因为国民党是
削弱了，意志消沉了，失去了民心。"
60,110,"可是共产党却比以往无论什么时
候都强盛，整个华北差不多都被它控制了，从国民党军队后来所表现
的不中用的惨况看来，也许只有靠美国的武力才可以把共产党打跑。"
61,119,"对于这样庞大的责任，无论是叫我们的军队在一九四五年来承担，或
者是在以后来承担，美国人民显然都不会批准。"
62,119,"我们因此采取了第三
种供选择的政策……第三种政策是什么呢? 也就是: 美国出钱出枪，
蒋介石出人，替美国打仗杀中国人，变中国为美国殖民地的所谓对华
友好的传统政策。"
63,125,"不难理解，美帝国主义当权派艾奇逊之流，对于如何侵略中国，
变中国为美国的殖民地，实现其所谓对华友好的传统政策，是经过怎
样地反复掂量，逐一比较，最后选择了第三种政策的。"
64,125,"从这里，可以
认清美帝国主义的逻辑，美帝国主义的推理方法，论证方法。"
65,125,"通过他
们的推理、 论证，得出了实现对华友好的传统政策—"
66,130,"—
—帮助国民党打
内仗的结论。"
67,130,"这个结论，是经过艾奇逊的反复论证而得出的，集中地
表达了美帝国主义侵略中国的蛮横主张，可以认为，也就是他们的
论点。"
68,137,"毛泽东主席在本文中紧紧地扣住艾奇逊在论证中的致命伤，一针
见血地指出: 美国出钱出枪，蒋介石出人，替美国打仗杀中国人，借
以变中国为美国殖民地的这种侵略方式，是被中国和全世界的客观形
势所决定的，并不是美帝国主义的当权派—"
69,141,"—
—杜鲁门、 马歇尔系统不
想直接侵略中国。"
70,141,可以认为，这正是作者针锋相对地提出的论点。
71,141,"因
为艾奇逊在致杜鲁门的信中如实地招认，美帝国主义对直接出兵干"
72,146,"涉，在 ‘理论上’ 是妥当的，单就美国统治者来说，‘回顾起来’ 也
是妥当的，因为这样做起来实在有兴趣，‘似乎是令人神往’。"
73,146,"在这
里，作者通过驳斥艾奇逊的论证，粉碎了他们的论点。"
74,151,"统观全文，它的中心思想是: 揭露美帝国主义侵略中国的政策的
产生和失败，批判美帝国主义侵略中国的罪行，号召先进的人们对那
些对美国还存有幻想的知识分子和其他人等进行教育和团结的工作。"
75,154,这个中心思想，是对全文特别是对艾奇逊的驳斥的概括。
76,156,"上文可以作为通过反驳对方的论证从而驳倒对方的论点的驳论的
代表。"
77,158,(原载 《教学与管理》 1989 年 5 期，有删改)
78,159,"大家知道，在培养读写基本能力的过程中，同时必
须学习语文基本知识，并且通过一系列的读写训练把这
些知识转化为读写的基本能力。"
79,159,"语文基本知识和读写的
基本能力，就是所谓双基，必须制订科学的计划，有步
骤地进行学习、 训练，避免随意性、 盲目性，才能收到
预期的效果。"
80,166,"进行双基训练，必须结合课内和课外的语文学习活
动来进行。"
81,166,"既要充分发挥课内的阅读和写作学习活动的
作用，又要充分发挥课外的阅读和写作学习活动的指
导，以课内带动课外，课外促进课内，共同组成一个整
体。"
82,166,"不论是发展学生的智力也好，也不论是培养学生的
社会主义道德情操、 健康高尚的审美观和爱国主义精神
也好，都不能不同上述的各种活动互相结合起来进行，否则就会架
空，收不到应有的效果。"
83,166,"而在上述的各种活动中，培养读写基本能力
的活动则是一个核心，一切要围绕着这个核心进行，要结合这个核心
进行。"
84,177,"国家教委于 1986 年 12 月发布的 《全日制中学语文教学大纲》，
对初、 高中学生的读写能力都提出了明确的要求。"
85,177,"在阅读方面提出的
要求是: 初中阶段，能阅读一般的政治、 科技读物和文艺读物，正确
领会词句的含义，理清文章的脉络、 层次，把握文章的中心思想和写
作特点。"
86,177,"高中阶段，能比较熟练地阅读一般政治、 科技读物和文艺读
物，初步具有鉴赏文学作品的能力。"
87,177,"在写作能力方面提出的要求是:
初中阶段，能写记叙、 说明、 议论的文章，做到中心明确，内容具
体，条理清楚，语句通顺，书写清晰，不写错别字，正确使用标点符
号。"
88,177,"高中阶段，能写比较复杂的记叙、 说明、 议论的文章，做到中心
突出，内容充实，结构完整，语句通畅。"
89,177,"上述这些要求，是符合广大
的初、 高中学生的实际程度的，对某些地区的某些初、 高中的语文教"
90,188,"从
语
文
基
本
能
力
的
培
养
说
起"
91,202,学发挥了指导作用。
92,204,"然而，如果我们对某些地区的某些初、 高中学生的读写能力来进
行考察，就可以发现，近几年来，这些学生的读写能力并不是有所提
高，恰恰相反，而是有所下降。"
93,204,"他们缺乏学习语文的积极性和兴趣，
甚至不愿意学习语文。"
94,204,"尤其值得注意的是，不但普通中学如此，不少
中等职业学校的语文教学也同样发生这种情况。"
95,210,"为什么会发生这种情况? 原因何在呢?
原因不只一端，也不是来自一个方面。"
96,210,"单就普通中学的教材来
说，就有不少问题例如，应当选入的教材没有选入; 有些教材的编排
体系不利于学生的学习，就是应当提出来讨论的。"
97,215,"请看下面的一则报道:
湖南省浏阳县为适应农村商品经济发展和民主法制建设的需要，
从 1986 年起，加强中小学应用文教学，并编写了乡土补充教材 《应
用文课本》。"
98,215,"这一改革使学生为当地农村经济和家庭生活服务的能力
提高了，受到农民的交口称赞。"
99,221,"浏阳县教委从农村调查中了解到越来越多的农民需要运用请示、
合同、 协议书，产品说明书等进行经济活动，需要运用诉状、 仲裁申
请书、 报告和提案等维护自身的合法权益，行使民主权利。"
100,221,"而目前中
小学语文教材中安排的应用文不适应农村经济文化生活的需要，于
是，县教委把各年级应补充讲读的应用文和所占课时做了统一安排，
各中小学制订了切实可行的应用文教学计划。"
101,221,"县教委还以镇头乡为试
点，摸索改进应用文教学的经验。"
102,229,今年，该县召开了首次应用文教学研讨会。
103,229,"在教学中，教师们除
重点讲清应用文的格式外，注重联系本地农村和学生的家庭生活实
际，使学生倍感亲切，学有兴趣。"
104,229,"一些中小学还按年级特点开展了我
为他人写应用文、 办应用文诊所专栏等活动，灵活多样的形式，调动
了学生学习的积极性，提高了教学效率。"
105,235,"现在，该县的农民看到自己孩子提起笔来会写契约状纸，高兴地
说: 我家也有了泥秀才!"
106,238,"—
—
—见 1988 年 11 月 3 日 《光明日报》 2 版。"
107,242,"中学毕业生应当具有普通应用文的写作能力，但是，普通中学的
语文教材很少选入应用文。"
108,242,"现在，为了改正这个缺点，进行语文教材
的改革，群众自己动手了。"
109,246,从这里，不难看出教学改革发展的规律，这只是一个例子而已。
110,247,"这个例子还告诉我们: 应用文的读写能力，是广大的中学毕业
生、 广大的中等职业学校毕业生，以及自学语文的在职干部和知识青
年，都必须掌握的语文基本能力之一。"
111,251,"为了满足广大的青年和干部培养语文基本能力的需要，我们同有
关方面的同志们共同讨论，互相交换意见，最后决定编写一套 《语文
基本能力培养丛书》。"
112,251,"这套 《丛书》 共有九本，书目已见 《我的简历
和研究工作》 一文，不再赘述。"
113,251,"这套 《丛书》 是针对着中学语文教
师、 中等职业学校的语文教师、 自学语文的在职干部和知识青年，以
及高等师范院校中文系学生的需要而编写的。"
114,251,"编写的主要要求及注意
事项如下:"
115,258,"(一) 力求全面地研究中学语文教材和某些职业学校的语文教材，
掌握典型课文的本质特征; 力求掌握近年来广大语文教师的新创造、
新经验、 新成就，而对于我国传统的语文教学中可资借鉴的东西也要
注意吸取。"
116,258,"对于国外的语文教学中所创造的新成就，凡是对我们有帮
助的，也要注意借鉴。"
117,258,"力求掌握三个面向和 《全日制中学语文教学大
纲》 的精神实质，努力在各人编写的稿件中加以贯彻和体现。"
118,265,(二) 力求从语文教学实践中总结出语文基本能力培养的规律。
119,266,规律，即理论，或称原则。
120,266,"如果我们能够总结出语文基本能力培养的
规律，就标志着编写质量的高度。"
121,266,"这是本 《丛书》 编写工作中最关键
的、 有决定意义的一环。"
122,270,"(三) 力求展现语文基本能力的内容 (基本能力的各个方面) 及
培养的各种主要方式，并选用典型的例子来加以阐释，使读者信服。"
123,273,力求使读者感到切实顶用，富于启发性，耳目为之一新。
124,275,(四) 对某些不正确的说法，可提出驳辩。
125,275,"驳辩要有理有据，有
说服力。"
126,278,"我们希望，通过各位编写同志及出版社的共同努力，这套 《 丛
书》 能早日同读者见面，为培养语文基本能力、 提高语文教学质量作
出微薄的贡献。"
127,282,(原载 《中学语文》 1989 年 9 期)
128,285,"3.

UU
教
材
是
一
种
文
化
︐
语
文
教
材
则
是
教
材
文
化
中
内
容
最
为
丰
富
多
彩
的
部
分
︐
它
已
经
构
成
了
一
个
知
识
和
经
验
的
宝
库
︒


?
　 　 朱绍禹集
朱绍禹 ( 1922—2008)，吉林永吉人，语文教育家。"
129,341,"1949 年毕业于东北师范大学文学院国文系，毕业后留校从
事语文教育的教学和研究工作。"
130,341,曾任教育部中小学教材审
131,343,"定委员会委员、 全国高等语文学会语文学习科学专业委员
会理事长，是中国教育学会语文教学法研究会主要创始人
之一。"
132,347,"朱绍禹从事语文教学和研究近 60 年，他不仅以坚实的教学实践
培养了众多优秀语文教师与多层次专业人才，还凭借其深厚的学术功
底出版了大量语文教育论著，系统阐述了语文学科的性质、 价值、 目
标、 内容、 原则、 过程和方法，构建并完善了我国语文教育学的理论
体系。"
133,347,他提出，“中学语文课是由多重性质构成的综合体。
134,347,"但是当我
们谈论它的性质时，往往过于强调它的某一个方面，从而导致认识的
偏颇”。"
135,347,"他从辩证思维的角度，从工具性和思想性、 知识性和技能性、
语言和思维、 语言和文学、 艺术性和科学性、 螺旋性和直线、 综合性
等方面探讨了语文课程的性质，揭示了语文教育理念的丰富性、 深刻
性和权威性，形成了独特的教材观与教学观。"
136,358,朱绍禹提出衡量语文教材质量的五项标准。
137,358,一是思想性。
138,358,"因为语
文是最富有思想性的学科，作为语文知识和能力载体的语文教材，必
须具有思想性，要有好的思想内容。"
139,358,二是科学性。
140,358,"他从现实出发，提
出语文教材的科学性不仅指具有科学性的语文知识，而且文学作品中
的人物和情节也要符合生活的真实和艺术的真实。"
141,358,三是启发性。
142,358,"不但
要求语文教科书选文的语言具有典范性，而且要有思想的启迪性。"
143,358,"四
是趣味性。"
144,358,"语文教科书应是所有教材中最有魅力的教材，因此选文和
习问都要有情趣，利于教学。"
145,358,五是艺术性。
146,358,在教材编写上，他提出语
147,366,文教科书不仅要强调文质兼美，而且还特别强调图文并茂。
148,366,"他对语文
教学进行了系统地探索。"
149,366,"关于阅读教学，他从阅读学和教育心理学角
度阐述了阅读教学的理论与方法，最后提出阅读是学生依据自己的知
识和经验，从文本中获取意义并对文本结构进行加工的过程。"
150,366,"在阅读
教学中，教师扮演的是组织者、 促进者和参与者的角色。"
151,366,"关于作文教
学，他提出要鼓励学生参与生活和关注社会，要重视心灵的沟通。"
152,366,"要
引导学生运用多种方式写作，让学生在实践中学会写作。"
153,366,"还要重视评
价，采用多种评价方式，提高学生作文的自信心。"
154,366,"关于口语交际教
学，他提出交际策略、 情景策略和互动策略，强调在口语交际教学
中，教师要注意指导学生组织好内部语言，快速进行语言编码，并运
用外部语言和辅助手段表情达意。"
155,366,"除此外，朱绍禹还非常关注外国的
语文教学发展，编辑出版评介外国语文教育的书籍，开创了比较语文
教育的研究领域。"
156,366,"他的这些语文教育思想与实践对今天的语文教育依
然具有指导意义。"
157,382,"为此，我们从朱绍禹先生的诸多语文教育论著中，精选了 25 篇
语文教育的理论文章，按照著述年代精心编排汇集。"
158,382,"相信阅读这些富
有创新性的语文教育文章，会进一步拓展我们语文学科的研究视野，
为新时代语文教育提供更富活力和更具创造力的思想资源。"
159,387,"近些年来，语文课中的写作教学，一般地说，是有
成绩的。"
160,387,像最近 《语文学习》 上比较集中地发表的北京
161,390,"市几个中学写作教学的经验就有许多可取的地方，特别
是北京女三中的 《我们的写作教学》 很值得重视。"
162,390,"类似
上述的经验，我想不仅北京市有，别的地方也有。"
163,390,"如果
能把这些经验系统地整理，使它提高，那么可以肯定的
东西将会更多，从而也会为今后文学课中的写作教学奠
定更好的基础。"
164,397,"这里试就语文教学中已经积累下的一些经验和我对
苏联写作教学方法的体会，谈几点意见。"
165,399,"一、 写作教学的意义和改进写作教学的根本途径
写作教学是文学教学的一个重要组成部分，具有极大的教养和教
育的意义。"
166,399,"写作教学的这种教养和教育的意义，我们每个教师都有明
确认识的必要。"
167,404,"往往可以遇到这样的看法，就是认为写作教学只是教学生学会写
作方法的问题。"
168,404,这种看法是片面的。
169,404,"写作教学的意义是巨大的、 多方
面的。"
170,404,"它能促进学生观察力、 想象力的发展，知识领域的扩大，并获
得对生活的认识。"
171,404,"它能丰富学生的语言，培养学生正确运用语言连贯
地合乎逻辑地表达思想情感的技能，特别是能训练学生在没有口头语
言的语调、 表情以及动作的帮助下，只凭书面语言本身也能完整而精
确地表达意见。"
172,404,"写作教学的巨大意义还在于它有助于共产主义世界观
的形成，有助于高尚情操的培养。"
173,413,"从这里可以看出，写作教学是和课堂阅读教学、 课外阅读指导以
及学生的生活实际有密切关系的。"
174,413,"因此，改进写作教学就不能不以改
进课堂阅读教学和课外阅读指导等为条件。"
175,413,《初级中学文学教学大纲
176,416,"中
学
文
学
课
中
的
写
作
教
学"
177,429,"(草案) 》 “说明” 指出 “教师应该了解，帮助学生领会作品的过程，
同时就是帮助学生提高说话和写作能力的过程。”"
178,429,"不充分认识这一点，
是很难从根本上解决问题的。"
179,429,"当然这不等于说，写作教学的改进只在
阅读教学彻底改进以后才能开始，这只是说，改进阅读教学带有根本
的性质。"
180,436,"上面这个道理，说穿了本极平常，但是在过去的语文教学中，对
这一点的认识是不够的。"
181,439,"说到改进课内和课外阅读，牵涉的方面很广，而其中任何一部分
又都和写作教学有直接的关系。"
182,439,"因为文学阅读教学中的各部分都是互
相作用互相制约着的，很难分割。"
183,439,"要提高写作教学就必须全面地改进
文学阅读教学，而不能局限于一点一滴的改进。"
184,439,"其中作为文学阅读课
的一个重要构成部分的写作教学的基本训练，我们过去没有足够地重
视，而这也正是创造性的作文质量低下的一个主要原因。"
185,446,"二、 写作教学的基本训练
近年来，已经有好多教师注意到写作教学的某些基本训练，但从
基本训练的多样性、 连贯性和基本训练的质量方面看，这种训练需要
改进的地方还很多。"
186,451,"写作教学的基本训练之所以重要，是因为它是从事创造性作文的
前提，是达到更高阶段的必经过程。"
187,451,"像学会画必先从练习素描下手一
样，学生创造性的作文也必须有必要的认识力、 想象力和语言运用能
力为基础。"
188,451,换句话说，写作教学也有它的循序渐进的性质。
189,456,基本训练不仅必要，而且要求多样化。
190,456,"而文学课的内容和形式的
丰富多彩，也为基本训练的丰富多样准备了良好的条件。"
191,456,"丰富多样的
基本训练不仅能激起学生的兴趣，增强练习的自觉性，同时更能从各
方面增进学生的知识和技能。"
192,456,因此，那种把基本训练的形式单一化的
193,460,做法，正是脱离文学课特点的一种表现。
194,462,"根据我们许多教师的经验和苏联教师的经验，基本训练的方式，
主要的有下列几种"
195,464,"摘录词句—
—
—这种基本训练本来更适于小学阶段，但在目前的初
中低年级还有必要，而且可以与小学阶段的摘录采取不同的做法。"
196,464,"可
以围绕一个中心人物、 一个风景画面、 一个中心事件，或者按照词性
和修辞格的区分来摘录。"
197,464,"布置摘录时，应指导学生避免毫无联系的词
句的积累，应防止不了解意义只注意语言形式的偏向。"
198,464,"这种性质的作
业能使学生的词汇日积月累，逐渐丰富，为创造性作文准备条件，并
能在一定程度上有助于熟记课文。"
199,475,"造句—
—
—造句虽然也是一种最简单的基本训练，但在初中阶段也
仍然必要。"
200,475,"不过在文学课中的造句主要应在汉语课上进行，在文学课
中应多进行错综多变的句法训练，使学生掌握多样的句式。"
201,481,"填词—
—
—是让学生选取恰当的形容词写在教师指定的名词的前
边。"
202,481,"这种练习不仅能丰富学生的词汇，还能使学生了解形容词和名词
的关系及形容词在表现事物的生动、 形象化方面的作用，能训练学生
的形象思维，使他们克服那种常见的为形容而形容的乱使用形容词的
毛病。"
203,481,运用副词也可以用同样的方法训练。
204,489,"改错—
—
—是指定一段有用词错误的文章，让学生用正确的词去代
替原来用错了的词。"
205,489,"原文中的毛病不妨多些，但要明显，符合量力性
原则，否则容易混淆学生的认识以致把原来正确的词反倒改错了。"
206,489,"这
种作业能通过对不正确的辨认，达到正确用词的目的。"
207,496,"标点课文—
—
—可以根据学生在书面作业中运用标点的程度，选择
课文的部分或全文 (也可以选择课外读物的一段或几段) 让学生标
点。"
208,496,"这能培养学生运用标点的能力，能训练学生了解句子的意思和句
与句间的关系，了解标点对帮助正确理解课文内容的作用。"
209,496,"从学生使
用标点的混乱来看，目前应重视这种训练。"
210,504,"抄写—
—
—这种练习的目的主要在于熟悉作家的语言，因而有助于
口头语言和书面语言相应的发展 (这在中学生常常是脱节的)，还能
通过书面的形式加深对课文的熟记，并训练正确，仔细、 整洁的书写
习惯。"
211,512,"听写—
—
—听写目的主要在于巩固学生的词汇，使书面语言的发展
跟上口头语言的发展，提高写作技能。"
212,512,听写可采用不同的方式。
213,512,"一种
方式是，学生完全按照教师读的原文一字不易地写下来，这是过去的
习惯做法。"
214,512,"还可以有另一种方式，就是学生根据选择教师读过的原
文，在不离开原文基本内容的前提下，可以自由地选择词汇和造句，
但原文中的某些词汇和句子应指定使用。"
215,512,"这种方式的作业比前一种方
式自由些，但也困难些。"
216,522,"默对—
—
—这种作业必须在学生能够背诵的基础上。"
217,522,"它的作用和抄
写、 听写大致相同，而更能加深对课文的熟记。"
218,526,"缩写—
—
—这种作业是在教师指定的范围内，用较原文为少的语言
表达原文的基本内容 (在字数上应确定一个最高限度)。"
219,526,"在缩写前应
深入研究课文，分清主要情节和次要情节，然后决定取舍，重新组织
材料。"
220,526,"这种作业对促进学生深入理解课文内容，掌握作家的创作方
法，和发展概括事物的逻辑思维能力有很大作用。"
221,534,"扩写—
—
—把篇幅较短的作品扩写为篇幅较长的作品。"
222,534,"这种作业要
求扩大原文的内容和形式，需要更多的创造性想象，因而也就有助于
形象思维的发展。"
223,534,"可以扩大原有的情节也可以插入新的情节，但必须
是对原有情节的合理的扩大和补充。"
224,534,做这种练习有种种条件限制。
225,534,"首
先要选择作品，并不是每一篇作品都能护写。"
226,534,"其次要考虑扩写后的情
节必须符合原作的主题思想，必须符合事物发展的规律。"
227,534,"因此这种练
习宜在高年级做。"
228,544,"改写—
—
—这是把原作品改写成另一种体裁的作品，如把诗歌改成
散文，把叙述改成描写，把描写改成叙述，以及把第一人称改为第三"
229,548,人称，把第三人称改为第一人称等。
230,548,"改写主要是形式上的，内容应根
据原文，但也可适当增减，不必过于拘泥。"
231,548,"这种作业的目的主要在加
深学生对同一内容可以用不同形式表现出来的认识，并训练学生的组
织能力和想象能力。"
232,554,"续写—
—
—续写是过去很少采用的一种作业方式。"
233,554,"这是继续补写原
文的情节，使原文情节获得新的发展这种作业一方面能显示出学生对
原作品理解的深广度，一方面能在很大程度上发展创造性想象。"
234,554,"这种
作业刚刚练习时，学生也可能感到困难。"
235,554,"教师不要怕狗尾续貂，不能
要求学生的续写和作家的原文有同等价值，只要他们能比较合情合理
地写出些东西，哪怕就是 “狗尾”，也是可贵的。"
236,563,"翻译—
—
—是要学生把古代语言译成现代语言。"
237,563,"对翻译的要求，一
方面应依照原文内容，不可随意增删，一方面要做到语言活泼，不要
过于拘泥，以致词不达意。"
238,563,"做这种训练，应以文学课本中的译文为
范例。"
239,570,"课文插图作业—
—
—课文中的插图不是一种无谓的点缀，而是课文
的有机部分。"
240,570,"附有插图的课文是绘画艺术和语言艺术的一种有机结
合。"
241,570,"插图能帮助学生丰富生活知识，形成理解课文的明晰概念，培养
美的情操和美的鉴赏力，发展形象思维和语言。"
242,570,"教师应该很好地利用
它，引导学生深入地观察、 体会，展开对课文内容的生动、 具体的想
象，使学生在书面的叙述和描写中，表达插图里的主要形象和基本
思想。"
243,580,"编写提纲—
—
—这是用少量语言把课文的基本内容标示出来。"
244,580,"它对
于加深理解课文内容，特别是理解课文结构，对于发展概括事物的能
力，有很大的作用。"
245,586,"书面叙述—
—
—书面叙述的内容可以是教师指定的课文中的情节，
也可以是教师或学生自己讲过的故事。"
246,586,"这种叙述也可以像口头叙述一
样采取多样的方式，如详细述、 简要叙述、 摘要叙述、 类比叙述 (教"
247,591,"述一个与学过的课文的故事情节相类似的故事) 等它的作用和口头叙
述是相同的，区别仅在于它能训练学生的书面语言。"
248,595,基本训练的方式很多，上图提到的只是举隅。
249,595,"这些方式有繁简、
难易的差别、 组织基本训练的时候，要根据课文，考虑年级特点，循
序渐进，逐步复杂化，还必须持续不断地进行，不要一曝十寒。"
250,598,必须指出，这些基本训练最好事先经过口头练习阶段。
251,598,"根据苏联
的经验，在五至七年级 “几乎在进行所有的书面作业之前，都应该先
进行相应的口头练习”。① 这方面我们过去做得很不够，今后也该这
样做。"
252,603,"三、 作文
作文是学生写作练习中的基本方式，它具有很大的创造性和综合
性，较之任何写作练习都具有更多的形成生活实践能力的作用。"
253,603,"在这
种写作练习中，教师要特别珍视学生的创造性，鼓励创造性，培养创
造性。"
254,603,"在作文中过多地模仿，特别是近于抄袭的模仿，是不适当的，
指导作文的过程，一般包括命题、 指导、 批改、 评讲等几个相关
联的阶段。"
255,603,"然而，这也正像阅读教学过程一样，应该灵活运用，不要
把这个程序当作常规惯例。"
